ingredient,description,label,sccs opinions,chemical iupac name,identified ingredient substance,cmr
carrageenan,"A natural polysaccharide (big sugar molecule) coming from red edible seaweeds. It is used as a helper ingredient for its gelling, thickening and stabilizing properties .",safe,,,,
peg-12 dimethicone,"A fluid silicone that reduces surface tension. It can improve oil (or silicone) in water emulsions with faster absorption, better spreading, and a lighter feel .",safe,,,,
acacia senegal gum,"A natural polymer (big molecules from repeated subunits) that is harvested from the Acacia tree in the sub-Saharan region in Africa. It's a great thickening and binding agent . Often coupled with xanthan gum , as it helps to reduce its unpleasant stickiness.",safe,,,,
zinc pca,"If you have oily, acne-prone skin, Zinc PCA is one of the actives to put on your ""TO TRY"" list. It's a synergistic association of two great things: Zinc and L-PCA. The Zinc part is there to help normalize sebum production and limit the proliferation of evil acne-causing bacteria . L-PCA stands for pyrrolidone carboxylic acid and it's a key molecule in the skin that helps with processes of hydration and energy (it's actually an NMF, a natural moisturizing factor). L-PCA is not only there to hydrate the skin, but it also helps to increase the efficacy and bioavailability of zinc. An in-vivo (done on real people) test done by the manufacturer shows that Zinc PCA reduces sebum production statistically significantly after 28 days of application (1% was used in the test), and in-vitro (made in the lab) measurements show that Zinc PCA has strong anti-microbial activity against P. acnes (between 0.1-0.25%) and other bacterial strains. If that would not be enough there is also a 2011 research paper saying that based on in-vitro (made in the lab, not on real people)  findings Zinc PCA might be a promising anti-aging active that helps with the production of type I collagen (and we all know more collagen = firmer skin). All in all, definitely a goodie for oily, acne-prone skin .",safe,,,,
biosaccharide gum-2,"An interesting polysaccharide (a big sugar molecule) obtained by bacterial fermentation. Its sugar sequence is rich in rhamnose, galactose, and glucuronic acid. According to its manufacturer , Biosaccharide Gum-2 is a protecting agent against the damages from external aggressors that accelerate skin aging and it's a booster of skin comfort stimulating the release of pleasure molecules.",safe,,,,
octyldodecanol,"A clear, slightly yellow, odorless oil  that's a very common, medium-spreading emollient . It makes the skin feel nice and smooth and works in a wide range of formulas.",safe,,,,
zinc palmitoyl nonapeptide-14,"It's part of a peptide complex called ""Renaissance"" whose name was inspired by ""Re-birth for Skin"". The manufacturer claims that his peptide powder is almost magic and can increase the ability of skin to renew, regenerate, redensify , rebuild and restore skin tissue. The result is younger skin in 4 weeks with 38% more ""skin compactness"" or firmness. The peptide powder is supposed to be suitable for scar minimising as well.",safe,,,,
palmitoyl decapeptide-21,"A peptide that is part of an active peptide complex called ""Renaissance"". It is supposed to increase skin compactness and firmness. You can read more about ""Renaissance"" at Zinc Palmitoyl Nonapeptide-14 .",safe,,,,
decapeptide-22,"A peptide consisting of four amino acids (arginine, glutamine, glycine, and proline). It's part of an active peptide complex called ""Renaissance"" that is supposed to increase skin compactness and firmness. You can read more about ""Renaissance"" at Zinc Palmitoyl Nonapeptide-14 .",safe,,,,
diglycerin,"The big brother of glycerin . It's also a natural moisturizing factor that reduces water evaporation from the upper layer of the skin and helps to keep water in the skin so that it stays nicely hydrated . Compared to glycerin, it has a larger molecular structure (kind of a double glycerin). Thanks to this, it penetrates slower into the skin but gives longer lasting moisture and less sticky, better skin-feel .",safe,,,,
ogliopeptide-78,"A synthetic peptide containing 11 amino acids consisting of alanine, glutamine, glycine, isoleucine, lysine, proline and valine. It's part of an active peptide complex called ""Renaissance"" that is supposed to increase skin compactness and firmness. You can read more about ""Renaissance"" at Zinc Palmitoyl Nonapeptide-14 .",safe,,,,
alteromonas ferment filtrate,"A so-called exopolysaccharide (a natural big molecule secreted  by microorganisms) coming from a marine bacteria living in the French Polynesia. It goes by the trade name Exo-H and the manufacturer claims that it can stimulate the production of hyaluronic acid, lipids, and filaggrin in the skin. They are all important natural skin components for proper skin hydration and barrier repair. In-vivo (made on human) test made on 15 volunteers also showed that Exo-H quickly improves skin hydration and maintains the effect for at least 6 hours.",safe,,,,
ppg-12-buteth-16,"It's a neat helper ingredient that gives emolliency , solvency, and slip to the cosmetic formulas.",safe,,,,
retinol,"If you like to read about skincare (and if you are here, it seems that you do :)), we are sure that you have already read a lot about retinol. It is the ingredient everyone keeps talking about and there is a reason for that: it is the most proven anti-aging superstar available over the counter. If you want to dig a bit deeper and really understand retinol, you have to start with tretinoin . We have written a nice geeky description about it, so click here, and read all about it . So now you know that tretinoin , or retinoic acid, as it's often called, is the real, proven, FDA-approved anti-aging magic ingredient and tretinoin and retinol are both retinoids. They are not exactly the same, but they belong to the same family. With that in mind, we will focus here on the differences, and on how the anti-aging effect of retinol measures up against the anti-aging effect of tretinoin. Retinol vs tretinoin: the big difference Tretinoin is so damn effective because our skin cells have so-called retinoid receptors that interact directly with tretinoin but they cannot interact with retinol. Retinol itself is not active , and it has to be converted to retinoic acid to actually do something. In theory, our skin has metabolic machinery to do the conversion which is a two-step process : retinol -- > retinaldehyde --> retinoic acid . Once the conversion is complete, retinol becomes tretinoin and can do the same thing as we have detailed in our tretinoin description BUT this two-step conversion process is not very effective and the effectiveness varies from person to person. This means that retinol is much weaker than tretinoin , and it's also possible that retinol doesn't do much for you, because your skin is a lazy converter, while tretinoin still happily works. Retinol vs tretinoin effectiveness So retinol (in theory) becomes retinoic acid in the skin and from there it can work it's tretinoin-magic . There are several studies proving that retinol does exhibit biological activity and causes similar changes to the skin than tretinoin (0.1% retinol concentration gives already nice results) but the question is more the extent of the effects . Luckily there are a few studies to give us an idea. A study from 1997 compared the penetration and the effectiveness of retinol and retinoic acid and found that retinol penetrates better and "" retinol at 0.25% may be a useful retinoid for application without occlusion because it does not irritate but does induce cellular and molecular changes similar to those observed with application of 0.025% retinoic acid ."" Another 2015 study confirms the ballpark number that retinol is about 10 times less potent than tretinoin . It compared 0.25%, 0.5%, and 1.0% retinol with the commonly available tretinoin concentrations (0.025%, 0.05%, and 0.1%). The authors of the study concluded that "" results from this comparison study suggest that this sustained-release retinol complex containing multiple agents for optimal irritation control provides comparable improvements to tretinoin in the appearance of photo damage . "" A third study that we think is interesting and worth mentioning is one that did not try to determine what concentration of retinol is similar to what concentration of retinoic acid, but went the other way and compared the effects of equal concentrations (0.1%) of retinol and retinoic acid . The result of this study was that ""topical retinol treatment induces similar changes in skin histology and skin related gene and protein expression as seen with retinoic acid application, and the magnitude is more than half of that from retinoic acid treatment "". Of course, not only the anti-aging effects but the side effects (like irritation, skin flaking, dryness, redness) are also milder with retinol . A mild retinol product (around 0.1%) is still proven effective and very tolerable. You have to be more careful (introduce it gradually!) with stronger versions (around 1% retinol) where both the effects and the side effects can come close to that of tretinoin. Bottom line : Retinol is not the same as retinoic acid or tretinoin. It's less potent but still works great . If you are into anti-aging and like the tried and true (and are not pregnant), a good retinol (or retinoid) product should be in your skincare routine.",safe,,,,
coceth-7,A helper ingredient that helps water and oil to mix together . It usually comes to the formula as part of a solubilizer trio coupled with PPG-1-PEG-9 Lauryl Glycol Ether and PEG-40 Hydrogenated Castor Oil . The three form an easy to handle liquid that works with many types of oils and gives good sensorial properties to the formula.,safe,,,,
palmitoyl tripeptide-1,"A really famous peptide that is part of Matrixyl 3000 , the most sold peptide complex in the word. Before we go and find out what the big deal with Matrixyl 3000 is, let's just focus on Palmitoyl Tripeptide-1 itself for a bit. It's a small three amino acid (they are the building blocks of all proteins) peptide with the amino sequence of glycine-histidine-lysine, or GHK. GHK is attached to palmitic acid (a fatty acid) to increase oil solubility and skin penetration. The GHK part is the important one as it's a type I collagen fragment . When collagen naturally breaks down in the skin, the resulting peptide fragments signal to the skin that it should get to work and create some nice, new collagen. Adding in collagen fragment peptides, like GHK, might trick the skin into thinking that collagen has broken down and it's time to create some more . Therefore, Palmitoyl Tripeptide-1 is believed to be able to stimulate collagen production in the skin, and more collagen means fewer wrinkles and younger looking skin. In Matrixyl 3000 , Palmitoyl Tripeptide-1 is coupled with Palmitoyl Tetrapeptide-7 and the duo works in synergy to reduce wrinkles and give younger looking skin . According to the manufacturer's in-vivo (made on real people) test , applying 3% Matrixyl 3000 twice a day for 2 months resulted in all of the following things: 39.4% reduction in surface occupied by deep wrinkles 32.9% reduction in main wrinkle density 19.9% reduction in main wrinkle average depth 16% improvement in roughness 16.2% in lifting effect 5.5% improvement in elasticity 15.5% improvement in skin tone Manufacturer results, of course, always have to be taken with a pinch of salt, but if you like peptides, the Matryxil 3000 duo is one of the best-proven and most well-known ones and it's something that is worth trying.",safe,,,,
valine,"An essential amino acid (a building block of skin proteins like collagen) that our body cannot produce itself but has to take from external sources, like diet. It's a branched chain amino acid that is claimed to enhance energy, increase endurance and aid in muscle tissue recovery and repair when taken as a supplement. It's not clear what valine does when you put it on the skin, but as all amino acids, it must be at least a great skin hydrator .",safe,,,,
threonine,"An essential amino acid that's also a key building block of collagen and elastin. When taken orally, it helps the digestive and intestinal tracts function more smoothly and also helps the absorption of nutrients. As for skincare, it is not clear what it does other than being a skin hydrator .",safe,,,,
arginine,"A semi-essential (infants cannot synthesize it, but adults can) amino acid that is one of the primary building blocks of hair keratin and skin collagen. It's a natural moisturizing factor , a skin hydrator and might also help to speed up wound healing . Arginine usually has a positive charge (cationic) that makes it substantive to skin and hair (those are more negatively charged surfaces) and an excellent film former.  Thanks to the positive charge, it also creates a complex with AHAs (AHAs like to lose a hydrogen ion and be negatively charged, so the positive and the negative ions attract each other) that causes a ""time-release AHA effect"" and reduces the irritation associated with AHAs .",safe,,,,
isoleucine,"A branch-chained, essential amino acid that can be found in things like almond, cashew or soy protein. When taken orally it may promote protein synthesis. As for skincare - like all the amino acids - it's a skin-identical ingredient and moisturizer . It also seems to be useful as a barrier repair ingredient .",safe,,,,
palmitoyl hexapeptide-12,"A six amino acid peptide that is claimed to improve firmness and skin tone . Its amino acid sequence is Val-Gly-Val-Ala-Pro-Gly that is also called the ""spring fragment"" and is repeated six times in the important skin protein, elastin molecule. The manufacturer made a double-blind, one-month long clinical study on 10 women and found that twice a day application of 4%  Biopeptide El improved skin firmness by 33% and skin tone by 20%.",safe,,,,
pca,"PCA stands for Pyrrolidone Carboxylic Acid and though it might not sound like it, it is a thing that can be found naturally in our skin. In fact, after amino acids, it is the second biggest NMF component of the skin with 12% being PCA of the NMF composition of normal skin.  So similar to other NMFs, it's a skin goodie that helps the skin to hold onto water and stay nicely hydrated.",safe,,,,
rubus fruticosus seed oil,"The oil coming from the delicious blackberry fruit. Like many other plant oils, it's loaded with a bunch of good-for-the-skin stuff : nourishing and moisturizing fatty acids ( oleic acid: 15-19%, linoleic acid: 61-64% and linolenic acid 15-17% ), antioxidant vitamin E (about 1500-2000 mg/kg that counts as great!) and emollient and barrier helping phytosterols (like beta-sitosterol, campesterol and stigmasterol). If that is not enough, it also contains great skin-identical ingredient squalene (170mg/kg ) and antioxidant carotenoids (33 mg/kg). All in all, a high-quality, high-linoleic oil that's great for nourishing and moisturizing the skin.",safe,,,,
eriocephalus punctulatus oil,"A beautiful blue essential oil coming from Cape Chamomile (a type of Chamomile native to South Africa). In aromatherapy , anti-inflammatory and skin-healing properties are attributed to the oil though we could not find any research to confirm this. What we could find is some research on the composition of the oil that contains an unusually large amount of compounds (over 220). More than 50% of the oil consists of so-called aliphatic esters and about 37% is the terpenoid portion. It contains only 0.2% of the anti-inflammatory agent, chamazulene that also gives the oil its nice blue color. BTW, the oil is chemically significantly chemically different from the German Chamomile oil , and a bit more similar to the Roman Chamomile oil .",safe,,,,
salvia hispanica seed oil,"Chia seeds are in fashion and there is a reason for that. They are not only a superfood for your body but putting the oil all over your face seems to be a good idea too. Its unique property is that it's the richest known botanical source of skin moisturizing and probably anti-inflammatory alpha-linolenic acid (contains 50-60%). It also contains barrier repairing linoleic acid (17-26%) and only a small amount of very nourishing but potentially acne causing oleic acid (7%). Thanks to its great fatty acid content, chia seed oil counts as a great skin hydrator and it can help to maintain a healthy skin barrier function . According to manufacturer's info , it can even alleviate itchy skin . If that is not enough, it also contains a couple of nice antioxidants , including Alpha-Lipoic Acid, Coumaric and Caffeic Acid . All in all, a nice plant oil with a unique fatty acid composition and some nice antioxidants.",safe,,,,
aspartic acid,A non-essential amino acid  (important building block of collagen and elastin) that hydrates the skin . It is also used to set the pH of the cosmetic product (buffering).,safe,,,,
histidine,"A semi-essential amino acid meaning that enough has to be eaten from it so that the body does not use up essential amino acids (that our body cannot produce itself) to synthesize it. It has an important role in regulating the immune defense, allergic reactions, and inflammatory processes in the body. As for skincare, it's a skin moisturizer that might also protect from some skin infections .",safe,,,,
citrus aurantium dulcis oil,"The essential oil coming from the sweet orange . In the case of orange (and citruses in general), the essential oil is mainly in the peel of the fruit, so it's pretty much the same as the orange peel oil (also has the same CAS number - a unique ID assigned to chemicals). Its main component is limonene (up to 97%), a super common fragrant ingredient that makes everything smell nice (but counts as a frequent skin sensitizer).",safe,,,,
coco-caprylate/​caprate,"A light emollient ester (C8-10 fatty acids connected to C12-18 fatty alcohols) that absorbs quickly and leaves a dry but silky finish on the skin. In terms of skin feel, it is similar to Dicaprylyl Carbonate , another commonly used light emollient.",safe,,,,
inulin lauryl carbamate,"A polymeric (big molecule from repeated subunits) emulsifier that comes from Inulin , a naturally occurring polysaccharide found in the roots and rhizomes of several plants. The emulsifier is obtained by adding oil-loving chains onto inulin. The resulting copolymer can emulsify high amounts of oil and can stabilize oil droplets or non-water soluble particles so that they do not clump together in the formula.",safe,,,,
c13-15 alkane,A biodegradable emollient that gives a fresh gliding sensation and a powdery after feel. It works well with all kinds of oils including natural and silicone oils.,safe,,,,
sucrose laurate,"A sugar ester (sucrose + lauric acid) that works as an emulsifier and oil thickener . It's a great ingredient to make oily gel cleansers that turn to milk on contact with water. It's also 100% natural and combined with glycerin and oils (trade name Sucragel), it gives the basis for a gentle, yet effective, moisturizing oily gel cleansers. According to the manufacturer's 20 person study , skin is twice as hydrated 2 hours after using a Sucragel based cleanser compared to using a moisturising Sodium Laureth Sulfate cleanser.",safe,,,,
dodecane,"A natural based very light and highly spreading emollient that can be an alternative to water-thin, volatile silicone, Cyclopentasiloxane .",safe,,,,
isononyl isononanoate,An emollient ester with a rich and creamy but non-greasy skin feel . It makes skin supple and protects dry skin.,safe,,,,
glucomannan,"Glucomannan is a polysaccharide (a big sugar molecule) coming from the Konjac plant . It has great water-absorbing capacity and is one of the key ingredients in the plumping and smoothing active called Ultra Filling Spheres by BASF . The magic filling spheres have two active parts: a kind of LMW hyaluronic acid  (<40 kDa) and the konjac root powder or glucomannan. The latter one is a big molecule (> 200 kDa) that has outstanding water-absorbing capacities.  These two combined form small spheres which after drying, are transformed into the active spheres. Thanks to their high hygroscopic properties, the spheres can expand rapidly in the presence of the skin’s water reserve and they can plump up the skin and reduce the appearance of fine lines and wrinkles.",safe,,,,
arbutin,"A pretty well-known and often used ingredient with the magic ability to fade brown spots . It's used traditionally in Japan and can be found naturally in a couple of plants , including the leaves of pear trees, wheat and bearberry . Arbutin seems to work its magic and hinder the pigmentation process at the second step of it. An enzyme called tyrosinase is needed to create melanin (the pigment that causes the brown spots) and while several other skin lightening agents work to inhibit the synthesis of tyrosinase itself (like vitamin C or licorice ), arbutin lets tyrosinase be and rather hinders the melanin-forming activity of the enzyme . (So it might be a good idea to combine arbutin with some direct tyrosinase inhibitors for more skin lightening effect.) All in all, arbutin is one of the better-known skin brightening agents, that's probably worth a try if pigmentation is an issue for you.",safe,,,,
epigallocatechin gallatyl glucoside,"It's a ""bioengineered"" version of superstar green tea polyphenol, EGCG (EGCG attached to a glucose molecule). According to the manufacturer , it's a highly water soluble, stabilized and purified form that's easier to formulate but it keeps the great antioxidant and anti-inflammatory benefits of  regular EGCG. It's  Ecocert approved.",safe,,,,
rosa canina seed oil,"The oil coming from the seeds of dog-rose , a wild rose species native to Europe, northwest Africa and western Asia. It's a nice emollient, moisturizing plant oil loaded with skin-nourishing fatty acids (linoleic acid - 51%, linolenic acid - 19% and oleic acid - 20%). If you start to dig a bit deeper into the rosehip oil topic, you will soon see that there are lots of species of rose , and it's all a bit confusing to know what the differences and similarities between the oils of the different roses are. As far as our research can tell, here is the gist. In skincare t wo major types of rosehip oil are used: 1. Rosa Rubiginosa that is a synonym for Rosa Eglanteria and for Rosa Mosqueta. We will call it RR from now on. 2. Rosa Canina , or RC The oil content and composition of RR and RC is similar, but there are some differences: RR contains 8% of oil, while RC contains a bit more, 10%. However, the quality of RR oil seems to be a bit bette r: it contains 78% essential unsaturated fatty acids while RC contains only 71%. Also, the linoleic-oleic ratio of RR is better (3.3 vs 2.5) that might be important if your skin is acne-prone (as linoleic acid is good for acne and oleic is not). There is one more important thing to mention: RR oil is famous for containing the miracle active, tretinoin. Though Wikipedia puts RR and RC oil under the same article called as Rose hip seed oil , the referenced research about tretinoin content examines only Rosa Rubiginosa. We looked for a research paper explicitly stating that Rosa Canina also contains tretinoin, but could not find one, so we can neither deny nor confirm it. What we could find is a paper mentioning the tocopherols (vitamin E) and carotenoids (pro-vitamin A) content of Rosa Canina oil that gives it some nice antioxidant properties. All in all, it is a great emollient plant oil with great fatty acids beneficial for any skin type.",safe,,,,
mandelic acid,"An AHA , that comes from bitter almond and is named after the German name of almond, “mandel”. If you have never heard of AHAs (where have you been? :)) then go ahead and read all about the most famous representative, glycolic acid . We will wait. When it comes to skincare you have to know about AHAs. So go and read it , and let’s meet here afterward. Hey, welcome back! Now that you are an AHA and especially a glycolic acid expert we will just focus on the main differences between mandelic acid and glycolic acid . The first difference is that mandelic acid has a bigger molecular structure than glycolic acid . Because of this it can penetrate less deeply and works more on the skin surface. Most probably this is the reason why mandelic acid is more gentle on the skin. But this does not mean that mandelic acid is not an effective exfoliator. It is. It can gently lift off dead skin cells from the surface that results in smoother and more even complexion . Compared to glycolic acid the exfoliation action is slower but also safer . Even sensitive skin types tolerate mandelic acid pretty well. Another distinct feature of mandelic acid among the AHAs is that it has well-known antibacterial properties . Because of this, it's a promising ingredient in treating acne . Also mandelic acid has effective skin brightening properties, and it seems to be particularly effective in lightening post inflammatory hyperpigmentation (PIH) . A study from 2009 has compared a 35% glycolic acid peel with 20% salicylic acid + 10% mandelic acid peel (SMP) on skins with active acne and post acne scarring and hyperpigmentation. SMP proved to be more effective both in treating acne lesions and hyperpigmentation and with fewer side effects. Of course salicylic acid is a superstar ingredient but still it is a promising result for mandelic acid. Another promising study for mandelic acid and its ability to fight acne is a Polish study from 2015. It's not an independent study and it's also not placebo-controlled (or double blind), but still better than nothing. It examined the effectiveness of 5% and 10% mandelic acid (for 60 days) and found that ""both are safe and effective for the treatment of acne "".  Mandelic acid was the most effective at decreasing the number of pustules (-60% in 60 days), but it also worked to a lesser extent for inflammatory nodules (-30%) and comedones (-20%). Other good to know things are pretty similar to other AHAs: it’s effective at home pH range is 3-4 , you should use a sunscreen next to it, and experiment a bit how much and how often your skin can tolerate it. According to manufacturer info, daily use is suggested up to 10% . Oh, one more thing: as opposed to glycolic acid mandelic acid is light sensitive so choose a product with proper opaque packaging. Bottom line : mandelic acid is a less researched, but a very promising AHA. Just like other AHAs it gently exfoliates, but it also has antibacterial effect and seems to be an especially good choice for acne prone, problem skin .",safe,,,,
nylon-12,"An  odorless, slightly yellowish powder that's used as a polymer microsphere (a tiny little ball from repeated subunits). It gives products an elegant, silky texture and better slip. It can also scatter light to blur fine lines while letting enough light through so that the skin still looks natural.",safe,,,,
pogostemon cablin leaf oil,"If you are into perfumes, you must know patchouli as an important essential oil in the perfume industry. It boasts a pleasant woody, earthy and camphoraceous scent and has fixative properties (makes the fragrance long-lasting). Its composition is pretty unique: it does not contain any of the EU's 26 most common fragrance allergens, but its most important components are patchoulol (30%) and alpha- patchoulene (6%) which are responsible for its aroma and antifungal properties . Among essential oils, the allergen profile of patchouli counts as pretty good (much better than ylang-ylang or lemongrass oils), but if your skin is sensitive, it's still best to avoid it.",safe,,,,
sorbic acid,"A mild, natural preservative that usually comes to the formula together with its other mild preservative friends, such as Benzoic Acid and/or Dehydroacetic Acid . Btw, it's also used as a food preservative.",safe,,,,
dimethiconol,"A thick, high molecular weight silicone that is usually diluted in another, lighter silicone fluid (like dimethicone or cyclopentasiloxane ). The dimethiconol containing silicone blends leave a silky smooth, non-greasy film on the skin.",safe,,,,
dimethicone crosspolymer,A high-molecular-weight silicone elastomer (rubber-like elastic material) that is usually blended with a base silicone fluid (such as dimethicone or cyclopentasiloxane ) to give the formula a silky smooth feel and to act as a thickening agent.,safe,,,,
cetearyl glucoside,"A sugar based emulsifier that's especially great for low viscosity lotions or even sprays. It's effective in small amounts, only 1-1.5% is needed to form an emulsion. The resulting cream or lotion has great cosmetic properties with good spreadability and an enhanced soft skin feel.",safe,,,,
mica,"A super versatile and common mineral powder that comes in different particle sizes. It is a multi-tasker used to improve skin feel, increase product slip, give the product light-reflecting properties, enhance skin adhesion or serve as an anti-caking agent . It is also the most commonly used ""base"" material for layered composite pigments such as pearl-effect pigments . In this case, mica is coated with one or more metal oxides (most commonly titanium dioxide ) to achieve pearl effect via the physical phenomenon known as interference.",safe,,,,
oleic acid,"A common fatty acid that can be found in lots of plant oils. Its name, ""oleic"", means derived from olive oil , a plant oil rich in oleic acid, but avocado , macadamia and marula oils, just to name a few, are also oleic rich. Its chemical structure is monounsaturated, meaning it has one double bond (cis-9) that makes it less kinky than polyunsaturated fatty acids with multiple double bonds. Less kinkiness means that oleic acid and OA-rich oils are a bit thicker and heavier than their LA-rich siblings . Maybe this thickness is the reason that Oleic acid is considered comedogenic , and if you have acne-prone skin avoid OA-rich plant oils , and choose linoleic acid -rich versions instead. The thickness of OA also means that OA-rich oils are considered more nourishing and moisturizing than their LA-rich counterparts, and are generally considered to be more suitable for dry, mature skin types. As for oleic acid in its free form (and by free we mean that it is not bound up in a triglyceride structure like it is in oils), it mostly serves as an emulsifier or emulsion stabilizer in small amounts in regular cosmetic products. It is also quite well researched and is used in the pharmaceutical industry as a penetration enhancer .",safe,,,,
triolein,"A high stability high oleic acid oil derived from microalgae in an eco-friendly process. It works as an emollient in the formula, similar to other vegetable oils.",safe,,,,
isoceteth-20,A handy helper ingredient that works as an emulsifier or solubilizer to include oil-loving ingredients (such as fragrance) into water-based products.,safe,,,,
argania spinosa kernel oil,"When it comes to cosmetic oils and hype, argan oil is for sure leading the way. Dubbed as the "" liquid gold of Morocco "", we have to admit we have some trouble determining why this oil enjoys such a special miracle status. Not that it's not good, it is good, even great but reading the research about argan and a bunch of other plant oils we just do not see the big, unique differentiating factor (though that might be our fault not reading enough, obvs.) So, argan oil comes from the kernel of the argan fruit that comes from the argan tree that grows only in Morocco. The tree is slow growing and getting the oil is a hard job. The traditional process is that the ripe argan fruits fall from the tree, then goats eat them up and poop out the seeds. The seeds are collected and smashed with a stone to get the kernels inside. This part is the hard one as the seeds have extremely hard shells. Once the kernels are obtained, the oil is pressed out from them (the kernels contain about 50% oil). As for skincare, argan oil is loaded with lots of skin goodies (but so are many other plant oils): it contains 80% nourishing and moisturizing unsaturated fatty acids , mainly oleic (38-50%), linoleic (28-38%) and palmitic (10-18%) . It also contains a relatively large amount of antioxidant vitamin E (600-900 mg/kg, about twice as much as olive ), small amounts of antioxidant phenols (including caffeic acid, ferulic acid, and epicatechin), as well as some rare sterols with soothing and anti-inflammatory properties. Thanks to all the above goodness in argan oil, it can greatly nourish and moisturize the skin and hair . It's also claimed to be able to neutralize collagen-damaging free radicals, help reduce scars, and revitalize and improve skin elasticity. You can even read that argan might help acne-prone skin, but being a high oleic oil, we would be careful with that . All in all, argan oil is a real goodie but we do not fully understand the special miracle status it enjoys.",safe,,,,
simmondsia chinensis seed oil,"Jojoba is a drought resistant evergreen shrub native to South-western North America. It's known and grown for jojoba oil, the golden yellow liquid coming from the seeds (about 50% of the weight of the seeds will be oil). At first glance, it seems like your average emollient plant oil: it looks like an oil and it's nourishing and moisturizing to the skin but if we dig a bit deeper, it turns out that jojoba oil is really special and unique : technically - or rather chemically - it's not an oil but a wax ester (and calling it an oil is kind of sloppy). So what the heck is a wax ester and why is that important anyway? Well, to understand what a wax ester is, you first have to know that oils are chemically triglycerides : one glycerin + three fatty acids attached to it. The fatty acids attached to the glycerin vary and thus we have many kinds of oils, but they are all triglycerides. Mother Nature created triglycerides to be easily hydrolyzed (be broken down to a glycerin + 3 fatty acid molecules) and oxidized (the fatty acid is broken down into small parts) - this happens basically when we eat fats or oils and our body generates energy from it . Mother Nature also created wax esters but for a totally different purpose. Chemically, a wax ester is a fatty acid + a fatty alcohol , one long molecule. Wax esters are on the outer surface of several plant leaves to give them environmental protection . 25-30% of human sebum is also wax esters to give us people environmental protection. So being a wax ester results in a couple of unique properties: First, jojoba oil is extremely stable . Like crazy stable. Even if you heat it to 370 C (698 F) for 96 hours, it does not budge. (Many plant oils tend to go off pretty quickly). If you have some pure jojoba oil at home, you should be fine using it for years. Second, jojoba oil is the most similar to human sebum (both being wax esters), and the two are completely miscible. Acne.org has this not fully proven theory that thanks to this, jojoba might be able to ""trick"" the skin into thinking it has already produced enough sebum, so it might have ""skin balancing"" properties for oily skin. Third, jojoba oil moisturizes the skin through a unique dual action: on the one hand, it mixes with sebum and forms a thin, non-greasy, semi-occlusive layer; on the other hand, it absorbs into the skin through pores and hair follicles then diffuses into the intercellular spaces of the outer layer of the skin to make it soft and supple . On balance, the point is this : in contrast to real plant oils, wax esters were designed by Mother Nature to stay on the surface and form a protective, moisturizing barrier and jojoba oil being a wax ester is uniquely excellent at doing that.",safe,,,,
plukenetia volubilis seed oil,"An emollient plant oil coming from the Sacha Inchi plant from the Colombian Amazon. Similar to other plant oils, it's loaded with nourishing and moisturizing fatty acids : it's especially rich in α-Linolenic acid (42-49%) and linoleic acid (32-38%) and contains less oleic acid (9-14%). It also contains a decent amount of antioxidant vitamin E (200 mg/kg).",safe,,,,
carthamus tinctorius seed oil,"The oil coming from the seeds of the yellow flowered safflower plant . Similar to other plant oils, it's loaded with nourishing and moisturizing fatty acids : it's a high linoleic acid oil (70%) and has only smaller amounts of oleic acid (11%) ( this might be great for acne-prone skin ). It also contains antioxidant vitamin E (44mg/100g alpha-tocopherol).",safe,,,,
cyclomethicone,"Cyclomethicone is not one type of silicone , but a whole mixture of them: it's a mix of specific chain length (4 to 7) cyclic structured silicone molecules. (There seems to be a confusion on the internet whether Cyclomethicone and Cyclopentasiloxane are the same. They are not the same, but Cyclopentasiloxane is part of the mixture that makes up Cyclomethicone). All the silicones in the Cyclomethicone mixture are volatile , meaning they evaporate from the skin or hair rather than stay on it. This means that Cyclomethicone has a light skin feel with none-to-minimal after-feel .  It also makes the formulas easy to spread and has nice emollient properties.",safe,,,,
menthol,"Menthol needs no introduction: it's the thing that causes the cooling sensation so well-known both from cosmetic products as well as a bunch of other things like chocolate, chewing gum, toothpaste or cigarette. It's a natural compound that comes from the essential oil of Mentha species (peppermint oil contains 40-50% menthol) and it gives them their typical minty smell and flavor. As for skincare, menthol seems to be a mixed bag . Apart from the cool cooling sensation (that might last up to 70 mins!), it also has painkilling, itch reducing, antibacterial, antifungal and even penetration enhancing properties. On the other hand, it also seems to act as a skin irritant that increases trans-epidermal water loss (the water that evaporates from the outer layer of the skin) and thus contributes to drying out the skin.",safe,,,,
disteardimonium hectorite,"An organic derivative of hectorite clay , Disteardimonium Hectorite is used as a viscosity controller - it thickens up formulations to make them less runny. It’s most popular use in cosmetics is in sunscreens, under the trademarked name Bentone 38 from Elementis . According to the manufacturer info, it is a real multi-tasker, including the ability to prevent pigments settling during storage, stabilizing a formula for longer , creating a light and smooth skin feel and enhancing the water-resistance of sunscreen formulas .",safe,,,,
trisiloxane,"A clear, colorless, very easily spreadable and very volatile (evaporates from the skin easily) silicone fluid . It leaves a non-greasy, dry-smooth feel on the skin.",safe,,,,
